run_id,timestamp,epic,story_id,branch,model,total_calls,necessary,wasted,waste_pct,verdict,acs_passed,assumption_count,top_waste_pattern
20260411T200900,2026-04-11T20:09:00Z,7,QWS-0801,release/26.4.0,sonnet,144,87,57,40,CLOSED,,,file-reread
20260411T200900-retry,2026-04-11T21:00:00Z,7,QWS-0801,feature/26.4.0/QWS-0801,sonnet,228,111,117,51,CLOSED,,,lint-loop
20260411T215414,2026-04-11T00:00:00Z,epic-7,QWS-0801,feature/26.4.0/QWS-0801,sonnet,166,86,80,48,CLOSED-OVERREACH,,,scope-archaeology
20260411T223754,2026-04-11T00:00:00Z,epic-7,QWS-0801,feature/26.4.0/QWS-0801,sonnet,152,67,85,56,CLOSED,,,doc-overreach
20260411T231923,2026-04-11T00:00:00Z,epic-8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,148,86,62,42,CLOSED-READY,,,file-reread
20260411T231923-R6,2026-04-11T00:00:00Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,138,94,44,32,CLOSED-READY,,,file-chunking
20260412T010023,2026-04-12T01:00:23Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,154,117,37,24,CLOSED-READY,,0,grep-storm
20260412T015108,2026-04-12T01:51:08Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,150,97,53,35,CLOSED-READY,,0,file-reread
20260412T023551,2026-04-12T02:35:51Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,119,68,51,43,CLOSED-READY,,0,post-commit-violation
20260412T033255,2026-04-12T03:32:55Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,116,49,67,58,completed,,0,python3-anchor-hunt
20260412T050956,2026-04-12T05:09:56Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,131,54,77,59,completed,,0,python3-flailing
20260412T075004,2026-04-12T07:50:04Z,8,QWS-0801,feature/26.4.0/QWS-0801,sonnet,126,69,57,45,CLOSED-READY,,,post-gate-flail
20260412T132414,2026-04-12T13:24:14Z,epic_7,QWS-0703,feature/26.4.0/QWS-0703,sonnet,41,36,5,12,completed,,,file-reread
20260412T135905,2026-04-12T00:00:00Z,epic_7,QWS-0804,feature/26.4.0/QWS-0804,sonnet,70,34,36,51,TESTING,,,grep-storm
20260413T012149,2026-04-12T00:00:00Z,epic-9hf,QWS-HF-001,feature/26.4.0/QWS-HF-001,sonnet,78,38,40,51,COMPLETED-OVERRUN,,,post-stop-rampage
20260413T021043,2026-04-13T02:10:43Z,epic-9hf,QWS-HF-001,feature/26.4.0/QWS-HF-001,sonnet,54,35,19,35,completed,,,grep-storm
20260413T023347,2026-04-13T02:33:47Z,epic_9hf,QWS-HF-001,feature/26.4.0/QWS-HF-001,sonnet,34,27,7,21,TESTING,,,file-reread
20260413T030836,2026-04-13T00:00:00Z,9hf,QWS-0904,feature/26.4.0/QWS-0904,sonnet,47,36,11,23,TESTING,,,file-reread
20260413T030836-R2,2026-04-13,9hf,QWS-0904,feature/26.4.0/QWS-0904,sonnet,68,43,25,37,TESTING,,,file-reread
20260413T030836-R3,2026-04-13,9hf,QWS-0904,feature/26.4.0/QWS-0904,sonnet,53,37,16,30,TESTING,,,grep-storm
20260413T055321,2026-04-13T00:00:00Z,epic-9.5,QWS-0905,feature/26.4.0/QWS-0905,sonnet,86,69,17,20,completed,6,0,file-reread
20260414T022821,2026-04-13T00:00:00Z,13,QWS-1301,feature/26.4.0/QWS-1301,sonnet,20,14,6,30,TESTING,,,post-edit-grep
20260414T024642,2026-04-13T00:00:00Z,13,QWS-1301,feature/26.4.0/QWS-1301,sonnet,117,83,34,29,TESTING,,,grep-storm
20260414T035848,2026-04-13T00:00:00Z,13,QWS-1302,feature/26.4.0/QWS-1302,sonnet,30,20,10,33,TESTING,,,grep-storm
20260414T042729,2026-04-14T00:00:00Z,13,QWS-1303,feature/26.4.0/QWS-1303,sonnet,70,50,20,29,TESTING,,,edit-storm
20260416T134711,2026-04-16T13:47:11Z,14,QWS-1404,feature/26.4.0/QWS-1404,sonnet,28,22,6,21,TESTING,,,file-reread
20260416T150456,2026-04-16T15:04:56Z,14,QWS-1401,feature/26.4.0/QWS-1401,sonnet,27,24,3,11,TESTING,,,lint-rerun
20260416T151355,2026-04-16T15:13:55Z,14,QWS-1402,feature/26.4.0/QWS-1402,sonnet,43,30,13,30,TESTING,,,scope-archaeology
20260416T152525,2026-04-16T15:25:25Z,14,QWS-1403,feature/26.4.0/QWS-1403,sonnet,51,32,19,37,TESTING,,,scope-archaeology
20260416T164149,2026-04-16T16:41:49Z,14,QWS-1405,feature/26.4.0/QWS-1405,sonnet,74,46,28,38,TESTING,,,scope-archaeology
