run_id,timestamp,epic,branch,agent,model,total_calls,necessary,wasted,waste_pct,verdict,lint_errors_found,lint_errors_fixed,top_waste_pattern
20260411T162552,2026-04-11T16:25:52Z,6,release/26.4.0,qa-engineer,sonnet,48,28,20,42,CLEAN,0,0,file-reread
20260411T163612,2026-04-11T16:36:12Z,6,release/26.4.0,qa-engineer,sonnet,50,25,25,50,LINT_FIXLIST_WRITTEN,1,0,grep-storm
20260411T163612,2026-04-11T16:36:12Z,6,release/26.4.0,lint-mechanic,sonnet,6,4,2,33,completed,1,1,lint-rerun
20260411T165551,2026-04-11T00:00:00Z,6,release/26.4.0,qa-engineer,sonnet,38,31,7,18,LINT_FIXLIST_WRITTEN,1,0,grep-storm
20260411T165551,2026-04-11T00:00:00Z,6,release/26.4.0,lint-mechanic,sonnet,7,4,3,43,completed,,1,lint-rerun
20260411T173405,2026-04-11T17:34:05Z,6,release/26.4.0,qa-engineer,sonnet,48,33,15,31,CLEAN,,,file-reread
20260411T174215,2026-04-11T17:42:15Z,6,release/26.4.0,qa-engineer,sonnet,45,27,18,40,CLEAN,,,file-reread
20260411T175522,2026-04-11T17:55:22Z,6,release/26.4.0,qa-engineer,sonnet,38,27,11,29,CLEAN,,,grep-storm
20260411T180719,2026-04-11T18:07:19Z,6,release/26.4.0,qa-engineer,sonnet,33,30,3,9,LINT_FIXLIST_WRITTEN,1,0,file-reread
20260411T180719,2026-04-11T18:07:19Z,6,release/26.4.0,lint-mechanic,haiku,11,4,7,64,committed,0,1,lint-grep
20260411T181926,2026-04-11T18:19:26Z,6,release/26.4.0,qa-engineer,sonnet,32,29,3,9,CLEAN,,,file-reread
20260411T182508,2026-04-11T18:25:08Z,6,release/26.4.0,qa-engineer,sonnet,33,27,6,18,CLEAN,,,file-reread
20260411T182950,2026-04-11T18:29:50Z,6,release/26.4.0,qa-engineer,sonnet,43,32,11,26,LINT_FIXLIST_WRITTEN,1,0,grep-storm
20260411T182950,2026-04-11T18:29:50Z,6,release/26.4.0,lint-mechanic,haiku,6,3,3,50,completed,0,1,auto-commit
20260411T183947,2026-04-11T18:39:47Z,6,release/26.4.0,qa-engineer,sonnet,32,27,5,16,CLEAN,,,grep-storm
20260411T185314,2026-04-11T18:53:14Z,6,release/26.4.0,qa-engineer,sonnet,37,29,8,22,CLEAN,,,lint-reread
20260411T190034,2026-04-11T19:00:34Z,6,release/26.4.0,qa-engineer,sonnet,39,32,7,18,LINT_FIXLIST_WRITTEN,1,0,file-reread
20260411T190034,2026-04-11T19:00:34Z,6,release/26.4.0,lint-mechanic,haiku,11,4,7,64,completed,1,1,lint-rerun
20260411T193044,2026-04-11T19:30:44Z,6,release/26.4.0,qa-engineer,sonnet,32,30,2,6,LINT_FIXLIST_WRITTEN,1,0,file-reread
20260411T193044,2026-04-11T19:30:44Z,6,release/26.4.0,lint-mechanic,haiku,7,3,4,57,completed,1,1,lint-misuse
